1.92	3472.46
18.93	3415.15
35.35	3358.14
51.76	3305.68
68.17	3251.50
84.65	3200.78
101.07	3149.48
117.50	3099.87
133.84	3049.70
150.28	3002.23
166.73	2956.00
183.09	2909.00
199.50	2863.67
215.87	2820.76
232.28	2776.03
248.79	2734.92
265.12	2693.21
281.57	2652.15
298.00	2612.14
314.42	2572.53
330.89	2533.01
347.29	2497.28
363.75	2459.50
380.17	2422.65
396.50	2386.18
413.04	2352.65
429.29	2319.12
445.89	2285.54
462.26	2252.03
478.60	2220.89
495.12	2188.73
511.45	2156.89
527.85	2126.00
544.29	2095.12
560.67	2066.39
577.15	2038.50
593.50	2010.07
609.92	1982.53
626.43	1955.57
642.78	1929.57
659.25	1901.50
675.60	1876.15
692.06	1851.21
708.57	1825.59
724.89	1802.39
741.35	1778.78
757.76	1756.14
774.12	1733.09
790.64	1710.62
807.01	1687.06
823.50	1665.87
839.87	1645.21
856.31	1624.23
872.85	1603.00
889.17	1586.10
905.68	1563.81
922.01	1545.15
938.39	1527.45
954.98	1509.20
971.26	1490.20
987.67	1470.98
1004.20	1454.85
1020.56	1437.46
1037.07	1420.78
1053.48	1404.31
1069.81	1387.79
1086.29	1372.07
1102.70	1356.10
1119.21	1340.42
1135.57	1325.59
1151.93	1312.23
1168.37	1296.40
1184.78	1282.48
1201.31	1269.06
1217.68	1255.50
1234.01	1241.70
1250.51	1227.84
1266.89	1215.73
1283.32	1203.06
1299.75	1190.95
1316.17	1178.04
1332.67	1166.57
1349.01	1154.29
1365.54	1143.79
1381.89	1131.21
1398.31	1120.37
1414.82	1108.51
1431.10	1099.62
1447.56	1087.48
1463.98	1077.78
1480.35	1070.84
1496.81	1057.59
1513.23	1047.65
1529.65	1039.51
1546.07	1030.07
1562.53	1020.48
1579.00	1010.64
1595.32	1002.76
1611.87	993.46
1628.29	985.12
1644.70	977.23
1661.23	968.84
1677.51	961.31
1693.95	952.70
1710.45	944.71
1726.79	938.15
1743.28	930.45
1759.71	922.76
1776.12	916.78
1792.59	909.67
1808.93	900.85
1825.48	895.00
1841.81	887.96
1858.18	880.62
1874.76	874.84
1891.04	868.90
1907.56	863.76
1923.89	857.21
1940.25	851.53
1956.75	845.96
1973.06	838.35
1989.56	834.56
2005.89	828.84
2022.34	821.29
2038.90	817.70
2055.18	813.50
2071.75	807.62
2088.06	802.64
2104.42	796.85
2121.00	792.45
2137.23	787.32
2153.68	783.64
2170.12	779.09
2186.42	774.12
2203.03	769.65
2219.28	765.14
2235.68	759.50
2252.15	757.18
2268.48	752.21
2285.14	749.21
2301.45	745.60
2317.79	740.45
2334.29	737.14
2350.59	732.92
2367.15	730.78
2383.50	726.29
2399.85	723.12
2416.42	720.50
2432.68	717.48
2449.18	712.96
2465.60	710.45
2481.92	705.79
2498.50	704.00
2514.71	701.17
2531.26	697.73
2547.67	693.59
2563.96	691.42
2580.59	689.43
2596.81	686.64
2613.31	682.93
2629.79	679.98
2646.10	677.51
2662.68	674.78
2678.93	670.76
2695.39	670.85
2711.81	667.60
2728.15	664.34
2744.68	662.96
2760.98	660.73
2777.42	658.20
2793.92	655.65
2810.34	653.93
2826.93	651.85
2843.25	649.59
2859.65	648.82
2876.14	645.26
2892.48	644.03
2909.09	640.10
2925.45	640.18
2941.78	636.75
2958.35	636.54
2974.65	633.32
2991.09	632.21
3007.56	631.93
3023.89	627.46
3040.40	627.85
3056.79	623.82
3073.25	622.78
3089.67	622.12
3105.96	621.28
3122.67	619.96
3138.93	618.45
3155.34	615.67
3171.78	614.93
3188.14	613.45
3204.68	612.23
3220.96	610.32
3237.37	608.57
3253.79	607.64
3270.14	606.71
3286.70	606.25
3302.98	604.60
3319.42	602.85
3335.89	601.39
3352.25	600.93
3368.81	598.87
3385.15	598.46
3401.51	597.18
3418.00	595.48
3434.32	594.39
3450.82	594.31
3467.25	593.25
3483.56	590.85
3500.03	590.65
3516.35	590.26
3532.85	587.40
3549.29	587.71
3565.68	587.12
3582.18	585.75
3598.51	585.35
3614.95	584.39
3631.53	582.18
3647.87	581.84
3664.46	582.48
3680.82	581.45
3697.17	579.76
3713.64	577.82
3730.00	577.48
3746.51	576.93
3762.87	576.54
3779.23	574.62
3795.70	574.84
3812.09	573.81
3828.53	573.57
3844.96	571.48
3861.29	571.96
3877.84	572.71
3894.21	570.35
3910.62	570.37
3927.07	569.68
3943.32	569.10
3959.82	568.17
3976.23	568.54
3992.60	567.29
4009.04	566.79
4025.39	565.76
4041.93	566.18
4058.31	567.06
4074.73	564.21
4091.14	564.15
4107.56	562.92
4124.06	564.15
4140.42	563.18
4156.79	562.78
4173.31	563.04
4189.64	560.37
4206.10	560.65
4222.51	560.70
4238.85	558.68
4255.32	558.62
4271.67	560.62
4288.20	558.12
4304.65	558.50
4321.04	557.39
4337.48	556.84
4353.82	559.14
